frase,risco,fator,taxonomia,metadata
"Ele não gosta que eu saia com minhas amigas e sempre arruma uma desculpa para eu ficar em casa.",Alto,Isolamento Social,Controle de Vínculos,Restrição de liberdade
"Tenho liberdade para ver meus amigos e família sempre que quero.",Baixo,Autonomia Social,Rede de Apoio Forte,Relação saudável
"Minha família mora longe e ele não gosta quando eu vou visitá-los.",Médio,Distanciamento Familiar,Interferência em Vínculos,Isolamento gradual
"Parei de falar com algumas amigas porque ele dizia que elas eram má influência.",Alto,Controle de Amizades,Isolamento Progressivo,Perda de suporte social
"Ele apoia quando eu quero passar tempo com minha família e amigos.",Baixo,Incentivo Social,Relação Saudável,Apoio à autonomia
"Quando marco algo com amigas, ele fica de mau humor e estraga meu dia antes de eu sair.",Alto,Sabotagem Emocional,Coerção Indireta,Controle por culpa
"Não tenho mais com quem conversar sobre meus problemas, só ele.",Alto,Isolamento Completo,Dependência Exclusiva,Vulnerabilidade extrema
"Ele diz que minha família me manipula e que eu não deveria dar ouvidos a eles.",Alto,Alienação Parental/Familiar,Controle Narrativo,Isolamento induzido
"Mantenho contato frequente com amigos e familiares, isso me faz bem.",Baixo,Rede Preservada,Apoio Social Ativo,Saúde relacional
"Ele questiona onde eu estive e com quem falei toda vez que volto de algum lugar.",Médio,Vigilância Social,Controle de Interações,Invasão de privacidade
"Meus amigos pararam de me chamar porque ele sempre dava problema quando eu ia.",Alto,Isolamento por Terceiros,Reconhecimento Externo do Controle,Perda de vínculos
"Não me sinto à vontade para contar para ninguém o que acontece em casa.",Alto,Silenciamento Relacional,Vergonha Induzida,Segredo forçado
"Ele diz que eu só preciso dele, que as outras pessoas não se importam comigo de verdade.",Alto,Dependência Forçada,Manipulação de Vínculos,Isolamento psicológico
"Ele lê minhas mensagens e me questiona sobre conversas com amigos.",Alto,Invasão de Privacidade,Controle Digital,Vigilância constante
"Tenho vários amigos e familiares que posso contar em qualquer momento.",Baixo,Rede Forte,Resiliência Social,Sistema de apoio robusto
